name,method,ingredients,category
Smoked salmon and avocado wraps ,"Preheat the oven to 180,ο, C (350,ο, F) set to fan.,Wrap each beet in aluminum foil, after adding salt, pepper, 1 tablespoon olive oil, ½ clove of garlic, 1 teaspoon thyme to each one, and bake them at 180°C (350° F) for 30 to 40 minutes. ,Peel the beets, grate them on the large holes of a box grater, and add them into a bowl. ,Add 1 tablespoon olive oil, salt, pepper, the vinegar, and mix. ,Lay 4 tortillas on your working surface and divide the cream cheese, the salmon, salt, pepper, the avocado into slices, the beets, the rocket, then wrap and serve. "," 100 g beetroots , salt , pepper , 3 tablespoon(s) olive oil , 1 clove(s) of garlic , 1 tablespoon(s) thyme , 1 teaspoon(s) vinegar, from white wine , 4 spinach tortillas , 100 g cream cheese , 150 g salmon, smoked , 1 avocado(s) , 100 g rocket ",Snacks and Sandwiches 
Gluten-free cheese pie,"Preheat the oven to 180,ο,C (350,ο, F) set to fan.,In a ,bowl,, mix the flour and the baking powder with a spoon. ,Add the yogurt, the 200 g olive oil, the egg, the chili flakes, the 200 g water, and keep mixing. ,Slowly add the remaining water into the mixture until there is a thick batter. ,Add the feta cheese, the gruyere, pepper, add salt depending on how salty your cheeses are, and mix. ,Finely chop the thyme, the mint, add them to the mixture, and mix.,Lightly grease a 25x35 cm ,baking pan, with the 25 g olive oil and pour the batter in, making sure that it evenly covers the whole surface of the pan. ,With a pastry brush, drizzle the surface of the pie with the remaining 15 g olive oil and sprinkle it with the sesame seeds. ,Transfer the baking pan to the oven and bake for 1 hour, until the cheese pie is golden.,Remove the baking pan from the oven, let the cheese pie cool a little, and serve by sprinkling with a few chili flakes, if you want."," 400 g gluten-free flour , 1 tablespoon(s) baking powder, gluten-free , 100 g strained yogurt , 240 g olive oil , 1 egg, medium , 1 pinch chili flakes , 400 g water , 250 g feta cheese , 150 g gruyere cheese, grated , pepper , salt , 2 tablespoon(s) thyme leaves , 2 tablespoon(s) mint leaves , 1 tablespoon(s) sesame seeds , chili flakes, optionally ",Savory pies and Tarts
Greek traditional pie with feta cheese,"Preheat the oven to 180,ο, C (356,ο, F) set to fan.,In a ,bowl,, add the flour, yogurt, vegetable oil, olive oil, salt, pepper, sugar, baking powder, vinegar, and oregano.,Mix with a spoon, until the dough starts getting formed. Continue by kneading with your ,hands, until the dough comes together nicely.,In a ,32x25 cm greased baking pan,, spread the mixture and bake for 40-50 minutes.  ,In a bowl, add the cream cheese, the dill finely chopped, pepper, salt, olive oil, and then mix with a spoon.,Spread on the whole surface of the base.,Place the feta cheese in strips, the cherry tomatoes cut in half, the cucumber cut in quarters and the olives, one next to the other.,Serve with oregano, basil, and olive oil."," 850 g all-purpose flour , 350 g strained yogurt , 300 g seed oil , 100 g olive oil , salt , pepper , 1 teaspoon(s) granulated sugar , 1 tablespoon(s) baking powder , 1 tablespoon(s) vinegar, of white wine   , 1 teaspoon(s) oregano, dry  , 400 g cream cheese , 1 tablespoon(s) dill , salt , pepper , 2 tablespoon(s) olive oil , 500 g feta cheese , 300 g cherry tomatoes , 1/2 cucumber , 100 g olives , oregano , basil , 1-2 tablespoon(s) olive oil ",Savory pies and Tarts
Greek no-phyllo leek pie,"Preheat the oven to 180,ο,C (350,ο, F) set to fan.,Cut the leeks in half and then into thin slices. ,In a large ,frying pan, over medium heat, add 4 tablespoons olive oil and sauté the leeks for 4-5 minutes, until they are slightly tender but not browned. ,Finely chop the garlic and sauté it along with the leeks for 1 minute. ,Remove the pan from the heat and transfer the leeks with the garlic into a ,bowl,. ,Crumble the feta cheese with your hands and add it to the bowl.,Finely chop the herbs, the dill, and add them to the bowl.,In another bowl beat the eggs with a fork along with the milk, salt, pepper, and 1 tablespoon olive oil.,Add the flour and whisk. ,Add the leek mixture into the bowl with the rest of the ingredients and mix with a serving spoon, until there is a uniform mixture.,Lightly grease a round 24 cm ,baking pan, with 1 tablespoon olive oil and pour the mixture in. ,Bake in the oven for 30 minutes, until the pie is firm and golden.,Remove the baking pan from the oven and let the pie cool a little, for about 20 minutes.,Cut into pieces and serve."," 3 leeks, only the white part , 6 tablespoon(s) olive oil , 2 clove(s) of garlic , 200 g feta cheese , 1 tablespoon(s) thyme leaves , 2 tablespoon(s) mint leaves , 1/4 bunch dill , 2 eggs, medium , 150 g milk, 3,5% fat , salt , pepper , 70 g spelt flour ",Savory pies and Tarts
Greek open-faced spinach pie ,"Preheat oven to 190* C (374* F) Fan.,Place a ,pan, over high heat and add 2-3 tablespoons of olive oil.,Tear the spinach up with your hands and add it to the pan in batches.,Cook for 5-7 minutes, until all of the liquid has evaporated. You don’t want any moisture in the pie.,When all of the spinach is ready, add the heavy cream. Stir until the volume of the spinach goes down and the heavy cream thickens.,Remove from heat and add the dill, mint and spring onions., Add half of the crumbled feta cheese, lemon zest, eggs, salt and pepper.,Stir and your filling is ready.,Line a ,baking pan, with parchment paper.,Spread the shortcrust pastry in the pan and spread the filling over it.,Roll the edge inward creating a small “envelope” all around the border.,Add the cream cheese in small pieces all over the filling.,Add the remaining crumbled feta.,Season with salt and pepper and drizzle with 1-2 tablespoons of olive oil.,Bake for 25-30 minutes, on the highest rack in the oven.,When ready, remove from oven and let it cool for 10 minutes.,Cut in to pieces. Drizzle with some olive oil, freshly ground pepper, herbs and serve."," 5 tablespoon(s) olive oil, + extra o serve , 800 g spinach, fresh  , 150 g heavy cream 35% , 1/3 bunch dill , 1-2 bunches mint , 2 spring onions, finely chopped   , 250 g feta cheese , lemon zest, of 1 lemon   , 2 eggs , salt , pepper , 320 g kourou dough sheet , 200 g cream cheese ",Savory pies and Tarts
Cheeseburger pie,"Preheat the oven to 180,ο,C (350,ο, F) set to fan.,Grease a 28 cm round ,cake pan, with the butter, dust with the flour, and set it aside until needed. ,Dust your working surface with a little flour and use a rolling pin to roll out the kourou dough sheet into a 30 cm circle.,Carefully transfer the sheet to the cake pan, covering its bottom and sides.,Spread a piece of parchment paper on the bottom and fill it with legumes as pie weights, so that the crust does not rise while baking.,Bake in the oven for 20 minutes.,Remove the pie weights along with the parchment paper and bake for 10 more minutes.,Take the cake pan out of the oven and let it cool. ,Place a ,pot, over medium heat and add the olive oil. ,Sauté the ground beef for 4-5 minutes, until golden brown, by stirring with a serving spoon.,Finely chop the onion, the pepper, the garlic, and sauté them for about 3-4 minutes.,Add the tomato paste and sauté for 1 more minute.,Deglaze the pot with the red wine, add the canned tomatoes, the oregano, the parsley, salt, pepper, and mix. ,Cook for 4-5 minutes until the juices of the tomato reduce and then remove the pot from the heat. ,Transfer the filling into a ,bowl, and let it cool.,Add the dry breadcrumbs and mix with the serving spoon.,Place a saucepan over medium heat and melt the butter.,As soon as the butter melts, add the flour and whisk well until there is a uniform paste. ,Cook for 1 minute and add the milk in 3 batches by whisking constantly.,Let the milk come to a boil and remove the pot from the heat. ,Add the mustard, salt, pepper, the 150 g cheddar, and whisk until the cheese melts.,Set the saucepan aside until the bechamel sauce is needed.,Preheat the oven to 200,ο,C (390,ο, F) set to fan.,Spread the ground beef mixture on top of the crust and make sure that it covers the whole surface.,Pour the bechamel sauce over the ground beef.,Sprinkle with the 50 g cheddar and bake in the oven for 8-10 minutes, until the bechamel sauce is golden.,Remove the pie from the oven and let it slightly cool. ,Cut into pieces, sprinkle with thyme, and serve -optionally- with BBQ sauce. "," 1 tablespoon(s) butter , 1 tablespoon(s) all-purpose flour , 1 kourou dough sheet , 3 tablespoon(s) olive oil , 500 g ground beef , 1 onion , 1 red bell pepper , 2 clove(s) of garlic , 1 tablespoon(s) tomato paste , 50 g red wine , 400 g canned tomatoes , 1 teaspoon(s) oregano , 1 bunch parsley, finely chopped , salt , pepper , 100 g dry breadcrumbs , 40 g butter , 40 g all-purpose flour , 400 g milk, 3,5% fat, lukewarm , 1 tablespoon(s) mustard, Dijon , salt , pepper , 200 g cheddar, grated , thyme ,   ,BBQ sauce, ",Savory pies and Tarts
Roasted vegetable tart,"Preheat the oven to 180,o,C (350,o, F) set to fan.,Brush a 28 cm ,tart pan, with the butter, flour it, and set it aside until needed. ,Dust your working surface with a little flour and use a rolling pin to roll out the ready-made shortcrust pastry into a 30 cm round sheet.,Carefully transfer the dough to the tart pan, covering its bottom and sides.,Cover the bottom with parchment paper and fill it with raw legumes or pie weights, so that the crust will not rise while baking.,Bake in the oven for 20 minutes.,Remove the pie weights along with the parchment paper and bake for 10 more minutes.,Remove the tart pan from the oven and let it cool. ,Place a ,frying pan, over medium heat and add 2 tablespoons olive oil.,Cut the onions into slices, finely chop the garlic, and sauté them for 2-3 minutes until they are slightly tender.,Finely chop the thyme, the rosemary, and add them to the pan. Add salt, pepper, and mix with a serving spoon. ,Remove the pan from the heat and transfer the mixture into a ,bowl,, where you let it cool for 20 minutes. ,Add the pesto sauce and mix with a spoon. Set the bowl aside until needed. ,Use a mandoline slicer to cut the eggplants, the carrots into 5 mm thick slices, and the zucchini into 0,5 cm thick slices.,Transfer the vegetables to a bowl and drizzle them with the rest of the olive oil, salt, and pepper. Mix with a spoon.,Spread the onion mixture over the tart crust, making sure that it covers the whole surface.,Place the eggplant slices around the tart crust, starting from the edges to the center.,Place the zucchini slices and then, the carrot slices. ,Follow the same process until you reach the center, placing the vegetable slices alternately.,Cover the tart pan with aluminum foil, transfer it to the oven, and bake for 20 minutes. ,Remove the aluminum foil and bake for 10-15 more minutes.,Remove the tart pan from the oven and let it cool for 30 minutes. ,Cut the tart into pieces and serve. "," 1 tablespoon(s) butter , 1 tablespoon(s) all-purpose flour, + extra to roll out the dough , 400 g ready-made shortcrust pastry , 50 g olive oil , 2 onions , 2 clove(s) of garlic , 2 tablespoon(s) thyme leaves , 1 tablespoon(s) rosemary , salt , pepper , 100 g pesto alla Genovese , 2 eggplants, small , 3 carrots , 3 zucchinis, large ",Savory pies and Tarts
Whole-wheat spinach pie,"With your hands, coarsely chop the spinach and add it to a ,bowl,.,Finely chop the dill, the spring onions, the chervil, and add them to the bowl. ,Add 1 tablespoon salt and mix with your hands, while squeezing the water out of the spinach. Drain and set aside.,Preheat the oven to 180,ο,C (350,ο, F) set to fan.,In a second bowl, use a fork to whisk the eggs along with the 250 g olive oil and the milk. ,In another bowl, use a spoon to mix the flour with the baking powder. ,Add the flour, in batches, into the bowl with the eggs and whisk until there is a thick batter. ,Add the spinach with the herbs, crumble the anthotyro or the feta cheese with your hands and add it into the bowl, add a little salt, pepper, and mix with a spoon until there is a uniform mixture.,Lightly grease, with the 10 g olive oil, a 30 cm round ,baking pan,, pour the mixture into the pan, and sprinkle with the sesame seeds. ,Bake in the oven for about 45-50 minutes, until the batter is thick and the pie golden.,Remove the baking pan from the oven, allow 20 minutes for the pie to slightly cool, cut it into pieces, and serve. "," 500 g spinach, fresh, cleaned , 1 bunch dill , 3 spring onions , 1 bunch chervil , 1 tablespoon(s) salt , 4 eggs, medium , 260 g olive oil , 450 g milk, 3,5% fat , 380 g whole-wheat flour , 1 tablespoon(s) baking powder , 400 g anthotyro cheese, or feta cheese , pepper , 1 teaspoon(s) sesame seeds ",Savory pies and Tarts
Greek rustic chicken pie ,"Place a ,pan, over high heat.,Thinly slice, the onion and bell peppers and mince the garlic.,Add 2-3 tablespoons of olive oil, the coriander and chili flakes in the pan to infuse the oil.,Add the vegetables and sugar. Sauté for 3-4 minutes until they caramelize.,Place another pan over high heat and add 1-2 tablespoon olive oil.,Cut the chicken into small pieces and add it to the pan. Sauté for 5-10 minutes until golden.,To both pans, add 1 teaspoon of dry oregano, salt and pepper. Mix.,As soon as the chicken becomes golden, transfer it to the pan with the bell peppers.,Add the tomato paste, mix and sauté.,Add the wine and allow it to evaporate. Remove pan from heat and transfer filling to a bowl.,Crumble the feta with your ,hands, and add it to the pan along with the grated gruyere, oregano and thyme.,Mix and set aside until needed.,Preheat oven to 170* C (338* F) Fan.,Brush a ,28x36 cm baking pan, with olive oil and spread the first sheet of phyllo dough in it. ,Drizzle with olive oil,.,Add another 2 sheets of phyllo dough, vertically to the first sheet and drizzle with olive oil.,Add 1 more sheet of phyllo dough, vertically to the first sheet and add all of the filling over it.,Cover with the remaining sheets of phyllo dough, following the same process as above.,Drizzle the surface with the remaining olive oil and turn the edges inward to create a thick crust.,Score the pie into 12 pieces and bake for 1 hour on a high rack in the oven.,When ready, remove from oven and allow to cool before serving."," 1 onion , 1 clove(s) of garlic , 1 red bell pepper , 1 yellow bell pepper , 1 green bell pepper , 4-5 tablespoon(s) olive oil , 1 tablespoon(s) coriander, seeds  , 1 teaspoon(s) chili flakes , 1 tablespoon(s) granulated sugar , 900 g chicken, boiled  , 1 tablespoon(s) oregano, dry  , salt , pepper , 1 tablespoon(s) tomato paste , 50 g white wine , thyme , 150 g feta cheese , 150 g gruyere cheese, grated   , 700 g phyllo dough sheets , 100 g olive oil ",Savory pies and Tarts
Frybread with feta cheese,"In a mixer’s bowl add the water, the yeast, and whisk well. Ideally, you should allow 10-15 minutes for the yeast to be activated.,Add the flour, the vinegar, the olive oil, salt, and beat with the hook attachment at high speed, for 5-7 minutes, until there is an elastic dough.,Transfer to a greased bowl, cover with plastic wrap and set it aside until it doubles in volume.,Place a ,frying pan, over medium heat and add 1 tablespoon olive oil.,Cut, the dough into 10 pieces. Roll out the dough pieces with a rolling pin, until they are 15 cm in diameter, and scatter the feta cheese crumbled with your hands, the oregano, and fold the dough like a parcel or in any shape you like. Use the rolling pin to roll them out again.,Fry in batches, for 2-3 minutes on each side, until the dough is golden and cooked through.,Follow the same process for all the frybread, adding 1 tablespoon olive oil.,Serve with honey and sesame seeds."," 300 g water, lukewarm     , 8 g yeast , 500 g all-purpose flour , 1 tablespoon(s) vinegar , 2 tablespoon(s) olive oil , 1 teaspoon(s) salt , pepper , 500 g feta cheese , 2 tablespoon(s) oregano, dry , 4-5 tablespoon(s) olive oil , honey , sesame seeds ",Savory pies and Tarts
